Title,Genre,Plot,Is the movie primarily a love story or romance?,Does the plot revolve around family dynamics or drama?,Is there a significant element of friendship in the movie?,Is the movie set in a rural village?,Is there a major focus on social or political issues?,Does the movie feature a strong female lead character?,Is the protagonist seeking revenge as part of the story?,Is there a supernatural or fantasy element in the plot?,Is the movie set during a historical period?,Does the plot involve a wedding or marriage as a central theme?,Is there a significant action or crime-related element in the movie?,Is the movie a biopic or based on true events?,Does the film involve a journey or travel as part of the story?,Is the movie known for its music or significant song sequences?,Does the movie take place in a metropolitan city or urban setting?
Dost,Drama,"Dost (Hindi: दोस्त; English: Friend) is a 1944 Bollywood film produced under the banner Navin Pictures, directed by Shaukat Hussain Rizvi. Kanhaiyalal and Maya Banerjee play the lead with Agha, Himalaya Dasani, Husn Banu, Mirza Musharraf, Motilal, Noor Jehan, Ram Pyari, Shaukat Hussain Rizvi, Sherali and Varmala Kumthekar in the supporting cast. The film song lyrics were written by Shams Lakhnavi, with music composed by Sajjad Hussain.",No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No
Ratan,"Music, Romance",They are in love - have grown up together. Circumstances lead her to get married to a older man with a small child who does not accept her physically after having seen her face for the first time - he feels guilty that she has been cheated upon and her youth has been snatched away. One day she returns home to meet her childhood friend.,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No
Lal Haveli,"Drama, Romance","Mukta and Anand are childhood friends and love each other. But Mukta belongs to higher social class than Anand and her family wants to arrange her marriage with Jawahar, son of a rich man.",Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Tadbir,"Drama, Family","Jayant Desai directs this melodrama centering on Kanhaiyalal (K. L. Saigal) who, according to a fortuneteller at his birth, will consort with a prostitute, grow skillful with a knife, and be sentenced to the gallows. As the film progresses, this unpromising prediction comes true, but in an unexpected manner. After a family tragedy, Kanhaiyalal and his mother find shelter in the home of a kindly whore named Saguna (Suraiya) who eventually sacrifices her life for that of the protagonist. Later, he becomes handy with a knife when he goes to med school and becomes a surgeon. As Kanhaiyalal matures, he and his mother battle against crime and poverty.",No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes
Ramayani,Fantasy,"Ramayani is a 1945 Hindi mythological film directed by Sarvottam Badami for Purnima Productions. The music direction was by S. N. Tripathi with lyrics written by Bekal Several films were made in that era based on the Ramayana. Vijay Bhatt made his famous Ram Rajya (1943), and Purnima Productions made their version of the epic, titling it Ramayani The film starred Pahari Sanyal, Nargis, Chandra Mohan, Rose, Kanhaiyalal and Amirbai Karnataki  [Wikipedia]",No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No
Village Girl,Drama,"Jani, a village boy, is sent on the warfront. He comes back victorious and becomes the Sunedar Major.",No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No
Humayun,"War, Romance, History",Humayan (Hindi: हुमायूँ) is a 1945 Indian Bollywood historical epic film directed by Mehboob Khan. It was the seventh highest grossing Indian film of 1945.,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No
Zeenat,"Comedy, Drama",A disgraced widow is forced to work as a maid for her fatherless child.,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Lion of Baghdad,Adventure,"Also known as Lion of Baghdad, this film stars Fearless Nadia, John Cavas and Sayani Atish.",No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes
Valmiki,Drama,"Valmiki is a movie directed by Bhalji Pendharkar featuring Shanta Apte, Prithviraj Kapoor.",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Eight Days,"Comedy, Drama","Shamsher Singh (Kumar), a discharged military officer who wants to settle down as a farmer. His marriage is arranged with the educated Neela (Veera) who ditches him at the last minute and goes to the city where she learns that she stands to inherit a fortune if she gets married within 8 days. After rejecting several suitors, she finally falls in love with Shamsher Singh, whom she meets in the city unaware that he is the person to whom she was earlier betrothed. Singh treats her badly and she sues him but in the end the two realise that they love each other.",Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes
Shahjehan,History,"Shahjehan (a raw Rehman in one of his first releases) is approached by a Rajput chieftain, Jwala Singh, narrating the plight of his foster daughter, Ruhi (Ragini), who is blessed with unheard of beauty. This gives rise to an army of suitors, who indulge in violence to prevent her from getting married by scaring her to-be grooms. Her beauty, confined to four walls of Jwala's haveli becomes part of folklore, and street gossip, through the poetry of Sohail (Saigal) who accidentally catches her glimpse, and falls in love with her.",Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No
Dr. Kotnis Ki Amar Kahani,"Drama, History","During the Japanese invasion of China, a young Indian doctor joins the Chinese resistance, meets and courts a Chinese girl, cures a virulent plague, and is captured by a Japanese platoon...",No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes
Dharti Ke Lal,"Drama, History",Based on plays by Bhattacharya and the story Annadata by Krishan Chander,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
Hum Ek Hain,Drama,"Zamindari Ma, the old landlady of a village supports its people during a famine and raises three orphaned children of differing religions. The children, although encouraged to practice their separate religions, are taught to remain united at all times.",No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No
Sunken Boat,Drama,A young law student is forced into an arranged marriage though he is in love with somebody else. Following the wedding the drama focuses on the bride's mistaken identity and the search for her husband.,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No
Neecha Nagar,Drama,"Wealthy landlord Sarkar decides to direct all waste into the village to make space for his real estate project. However, the poor villagers agitate against his plan and the protest is led by Balraj.",No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Anmol Ghadi,"Drama, Music, Romance","Childhood sweethearts from opposing social standings are separated when one's family moves elsewhere, leaving behind only a watch as a token of their friendship. Years later, as adults, they strive to meet again.",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No
Sajan,Romance,"Prakash (Ashok Kumar) is returning home after eleven years from UK, and is now on a train for his journey back home. He meets a young man, also called Prakash (Ramesh Gupta), on the train who befriends him. The train meets with an accident and Prakash loses his memory. While Prakash is wandering around trying to regain his memory, the man from the train thinking that Prakash (Kumar) is dead, pretends to be Prakash and reaches his house.",Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
Jail Yatra,Drama,Jail Yatra is an Indian Hindi-language drama film released in 1947. It was directed by Gajanan Jagirdar.,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No
Parwana,"Drama, Music",Inder is from a well-educated family but spends his life to help people in need which causes many misunderstandings,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
Mirza Sahiban,"Drama, Romance, Mystery",The movie revolves around a young mischievous boy named Mirza who is sent away to his uncle's home for further studies. Mirza is passionate about archery and is an expert at it. He starts living with his uncle where he meets his uncle's daughter Sahiban.,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Dil Ki Rani,"Comedy, Romance","A comic tale of a poet and his fan both in love with each other and relentless efforts by his would be father in law to not let them marry each other. Instead, he wants his daughter to be married to the poet's friend.",Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Elan,Drama,Elaan is a 1947 Indian Bollywood Muslim social melodrama film. It was the sixth highest grossing Indian film of 1947.[1],No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
March Ahead,Drama,"In the before independence, when Indians are subjected to torture by the officials, a young man (Dev Anand) and his family, take it upon themselves to fight against the authorities.",No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
Jugnu,"Drama, Musical, Romance",Suraj and Jugnu fall in love while studying at the same college,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes
Chittor Vijay,Drama,"Chittor Vijay is a 1947 Hindi language film directed by Mohan Sinha, featuring Raj Kapoor and Madhubala in the lead roles.",no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Shehnai,Drama,"A struggling entertainer trying to keep his dance company afloat with the help of his four daughters. However, his wife is worried about the disrepute the profession is bringing the girls and diminishing their chances of marriage.",No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No
Gopinath,Drama,"Mohan is fascinated by films and eventually meets a big movie star. The actress, in turn, is charmed by his simple ways. His increasing affection for her is merely a game for the actress.",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Amar Prem,Drama,"Amar Prem is a movie directed by N.M. Kelkar featuring Madhubala, Alka Rani.",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Shaheed,"Drama, Romance",A freedom fighter faces opposition from both his father and an ambitious police officer.,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No
Anokhi Ada,"Drama, Romance",A traumatized beautiful woman loses her memory in a train accident.,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
"Hanuman, The Worshipper of Lord Rama","Fantasy, Adventure, Action, History, Music, Drama","Ravana (Niranjan Sharma) orders Maricha to turn into a deer to entice Sita (Sona Chatterjee) with the notion of kidnapping her. Rama (Trilok Kapoor), Lakshman (Prabhash Joshi) and Sita are in the Panchavati forest for their fourteen year exile. Espying the golden deer sent by Ravana to lure Rama away, Sita asks Rama to get it. On hearing a cry of pain she sends Lakshman after his brother thinking he’s hurt. Ravan comes in the guise of a hermit begging alms and makes Sita step over the Lakshman Rekha (line), Lakshman had drawn around their cottage for her safety, asking her not to step beyond it. In their search for Sita, Ram and Lakshman meet Hanuman (S. N. Tripathi) whom they help in the fight between Sugriva and Bali. Hanuman then helps in finding Sita. (Wikipedia)",No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
Kalpana,Music,"A writer goes to a film producer with a story in the hope of selling the idea for a film. As he explains it to the producer, scenes from his dance movie come to life.",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Pyar Ki Jeet,"Drama, Romance",Pyar Ki Jeet (Love's Victory) is a 1948 Indian Bollywood film. It was the third highest grossing Indian film of 1948.,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Actress,Drama,"A love triangle. Two sisters; a well known singer and a stage actress, fall in love with same person, a singer.",Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes
Mela,"Drama, Romance",A convicted murderer is released from prison. His only possession is a broken figurine - the last token of his love. The tragic story of how he came to be incarcerated and the significance of the figurine is the subject of this tale of star-crossed lovers whose destiny is moulded by society's rigid rules and the villainy of a scoundrel.,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
Aag,"Romance, Drama","A man obsessed over two things, the theater and a childhood friend, recounts his life story to his new bride.",Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Parivartan,Drama,"Parivartan is a movie directed by N.R. Aacharya featuring Raj Kapoor, Motilal.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bazar,"Drama, Family","An impecunious poet, Parwana, runs away from home in company with his pal Jagu to join a theatrical company. On the way they come across a gypsy camp and Jagu succeeds in picking up Koel, a",No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No
Parda,Drama,"Razia and Aslam grew up as friends and that deepened into love at maturity. Unfortunately, Aslam was from a wealthy family and Razia from a poor one and Aslam's father disapproved. Instead, he arranged marriages to different partners for both of them. Our heroine got married off and became a good wife. But there's a snake in the grass in the form of Sadiq who wanted her for himself. As a result, unspeakable tragedies follow.",Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Apna Desh,Drama,"The lead protagonists stand at opposite sides of the spectrum, with one being betrayed by the nation, and the other vowing to defend it at all costs.",No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes
Ek Thi Larki,Drama,Meena is running away from two blackmailers Sohan and Mohan (IS Johar and Manju); who are blackmailing her for a a crime that she did not commit.,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No
Dulari,"Musical, Romance","Prem Shankar lives a wealthy life-style circa after the British Rule in India, with his businessman father, Girija, and housewife mother, Kamini. He is now of marriageable age, and his parents would like him to marry Seth Heerachand's daughter, but Prem wants to marry someone of his own choice, without any pressure from his parents. He befriends a young woman named Kasturi, who falls in love with him. Prem also meets with a gypsy woman named Dulari, and falls head over heels in love with her. When his father finds out, he is enraged, forbids Prem to ever see Dulari again, and warns him that he can only marry a woman from a good and wealthy family background. It is now up to Prem to decide to follow his father's instructions or do as his heart tells him.",Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes
