title,genre,plot,release_date,directors,"is the movie either drama, adventure, or music?","is the movie either romance, mystery, or history?","is the movie either action, horror, or documentary?","is the movie either comedy, family, or fantasy?",is the movie released in the 2010s or 1990s?,"is the movie released in the 2020s, 2000s, or 1980s?","is the movie released in the 1970s, 1960s, 1950s, 1940s, 1930s, or 1920s?","is the movie directed by david dhawan, mahesh bhatt, ram gopal varma, vikram bhatt, or priyadarshan?","is the movie directed by rama rao tatineni, k. bapaiah, ram gopal varma, vikram bhatt, or david dhawan?","is the movie directed by shantaram rajaram vankudre, mehboob khan, hrishikesh mukherjee, bimal roy, or adoor gopalakrishnan?",imdb_id,cast,"Does the movie feature any of these actors: Mithun Chakraborty, Akshay Kumar, Ajay Devgn, Govinda, or Jackie Shroff?","Is one of these actors in the movie: Mithun Chakraborty, Amitabh Bachchan, Sanjay Dutt, Jeetendra, or Raj Babbar?","Does the cast include any of these actors: Ashok Kumar, Dev Anand, Raj Kapoor, Vyjayanthimala, or Meena Kumari?"
Khazanchi,['Mystery'],"A cashier faces false allegations for killing an actress, so he needs to prove his innocence.",1941-01-02,['Moti B. Gidwani'],No,Yes,No,No,No,No,Yes,No,No,No,tt0214846,"M. Ismail, Manorama, Ramola",No,No,No
Sikandar,"['War', ' Drama', ' History']","The film begins after Alexander the Great (Sikander in Hindi/Urdu) conquers Persia and the Kabul valley and approaches the Indian border at Jhelum. Sohrab Modi plays the Indian king Puru (Porus to the Greeks).  The story goes that when Sikander defeated Porus and imprisoned him, he asked Porus how would he like to be treated. Porus replied the same way a defeated king is treated by the winner (meaning killed).",1941-02-19,['Sohrab Modi'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0243559,"Prithviraj Kapoor, Sohrab Modi, Vanamala",No,No,No
Bahen,['Drama'],"Having saved his little sister Bina (Baby Meena Kumari) from the floods, Amar (Sheikh Mukhtar) becomes increasingly possessive about her over the years. Amar falls in love twice but forgoes marriage so he can look after the growing Bina. Bina (Nalini Jaywant), now a grown up young girl falls in love with the social activist Rajendra (Harish). However, Amar can not bear to lose Bina and so he plans her marriage to the thief Moti Kanhaiyalal, with the idea that he'll get her divorced after some time and then Bina would stay with him always. After several incidents that end up uniting Rajendra and Bina, Amar gets some happiness when a daughter is born to Bina.",1941-08-06,['Mehboob Khan'],Yes,No,No,No,No,No,Yes,No,No,No,tt0139047,"Harish, Nalini Jaywant, Sheikh Mukhtar",No,No,No
Station Master,['Drama'],"A railway employee, Kalicharan, would like Usha, the Station Master of Rangpur Railway Station's daughter, to get married to Niranjan, the DTS of Indian Railways, but Usha has fallen in love with Arun, a Guard with the Railway, wants to marry him, and refuses to marry Niranjan, who is twice as old as her and a widower as well.",1942-01-01,['Chimanlal Luhar'],Yes,No,No,No,No,No,Yes,No,No,No,tt0035382,"Ratnamala, Kaushalya, Prem Adib",No,No,No
Bharat Milap,"['Adventure', ' Drama', ' History']",Maharani Kekaiyi schemes to get her son on the throne.,1942-01-01,['Vijay Bhatt'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0156360,"Umakant Desai, Prem Adib, K.B. Athavale",No,No,No
Roti,['Drama'],"Roti made in the early 1940s inspired by the German Expressionism, is a real critique of Indian society with prophetic insight. It deals with two models - one of a millionaire, possessed by money and power in an industrial civilisation, the other of a tribal couple living in a primeval state of nature. The millionaire is saved by the couple after an air crash, the tribal couple emigrate to the city, do not find happiness and return. The millionaire is ruined in the city, tries futilely to find salvation among the tribal.",1942-01-01,['Mehboob Khan'],Yes,No,No,No,No,No,Yes,No,No,No,tt0232542,"Sitara Devi, Chandra Mohan, Sheikh Mukhtar",No,No,No
Basant,"['Drama', ' Music']","Uma (Mumtaz Shanti) and Babul (Suresh) are poor and homeless siblings. Both of them have got singing talent but are unable to find any job. Then they meet Nirmal who is younger brother of theater owner Janki Babu. Nirmal persuades his brother to give them a chance. After seeing their talent, Janki Babu also admires Uma and gives her leading role at his theater. Then Nirmal and Uma fall in love with each other and get married. However, Nirmal has a misunderstanding that his elder brother also likes Uma and wanted to marry her. He does not approve of Uma's job in theater but himself is struggling to find a job. Uma leaves the job and they also also leave Janki babu's house. Now they have a small baby daughter, Manju. But soon they see the true face of poverty and struggle to cope with it.",1942-01-02,['Amiya Chakrabarty'],Yes,No,No,No,No,No,Yes,No,No,No,tt0138315,"Mumtaz Ali, Mumtaz Shanti, Ulhas",No,No,No
Zamindar,['Mystery'],"A young blind girl is the only witness to the murder of a greedy, but repentant, landlord.",1942-01-02,['Moti B. Gidwani'],No,Yes,No,No,No,No,Yes,No,No,No,tt0215382,"Shanta Apte, Ghulam Mohammed, Manorama",No,No,No
Bhakta Surdas,"['History', ' Music']",Bhakt Surdas was a great saint and devotee of Lord Krishna. He was a 16th-century poet who was blind.,1942-01-03,['Chaturbhuj Doshi'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0213510,"Kesar Bai, Bashir, Khurshid Begum",No,No,No
Saugandh,"['Drama', ' Romance']","A father worries for his younger son and asks his elder son to promise that he will do everthing in his power to ensure Arun does not go astray, educates himself and becomes an independent man. However, fate has other plans. When Arun commits an unthinkable crime, his brother fulfills the promise made to their father and shields his younger sibling from all harm.",1942-03-24,['Hemchandra Chunder'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0035291,"Bharati Devi, Asitbaran, Pahadi Sanyal",No,No,No
Khandaan,['Drama'],"A young man gets jailed for killing a woman who seduces him. When he gets released, he tries to stop his employer's son from committing the same kind of crime he did.",1942-04-25,['Shaukat Hussain Rizvi'],Yes,No,No,No,No,No,Yes,No,No,No,tt0151200,"Noor Jehan, Pran Sikand, Ghulam Mohammed",No,No,No
Sanjog,"['Comedy', ' Drama']",Deepak goes for an interview and mistaken as possible groom for Rajasaheb's daughter Bina. They fall in love but afraid of dire consequences Deepak runs away. They meet again and Rajasaheb get Bina married off to Deepak.,1943-01-01,['Abdul Rashid Kardar'],Yes,No,No,Yes,No,No,Yes,No,No,No,tt0036330,"Mehtab, Noor Mohammad Charlie, Wasti",No,No,No
Hamari Baat,['Drama'],Hamari Baat is a Bollywood film. It was released in 1943.,1943-01-01,['M.I. Dharamsey'],Yes,No,No,No,No,No,Yes,No,No,No,tt0035963,"Devika Rani, David Abraham, Suraiya",No,No,No
Prithvi Vallabh,['Drama'],"The story revolves around two kings, Prithvi Vallabh (Munj) of Avantipur who is kind and just, and Tailap, a neighboring king who is cruel. With the help of his sister Mrinalvati (Durga Khote) and another neighbouring king Bhillam (K. N. Singh), Tailap manages to capture Prithvi Vallabh. The rest of the film follows incidents following his captivity.",1943-01-01,['Sohrab Modi'],Yes,No,No,No,No,No,Yes,No,No,No,tt0243505,"Durga Khote, Leela Mishra, Sadiq Ali",No,No,No
Shakuntala,"['Drama', ' Romance']","Following a passionate encounter with King Dushyanta (Chandramohan), the comely Shakuntala (Jayashree) finds herself pregnant and rejected by the royal court. She gives birth in a forest to a son which she names Bharat (Kumar Ganesh). When the King tracks his former lover down and tries to take her back, she flatly refuses him.",1943-01-01,['Shantaram Rajaram Vankudre'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0036343,"Jayashree, Chandra Mohan, Kumar Ganesh",No,No,No
Taqdeer,['Comedy'],"In between his more ambitious Najma (1943) and Humayun (1945), Mehboob made this lightweight comedy about Justice Gangaprasad (Chandramohan) and theatre-owner Seth Badriprasad (Charlie) who lose their daughter and son respectively in the Kumbh Mela.",1943-01-02,['Mehboob Khan'],No,No,No,Yes,No,No,Yes,No,No,No,tt0232770,"Chandra Mohan, Nargis, Motilal",No,No,No
Ram Rajya,['Drama'],"Following Bhagwan Shri Ram's 14 year exile, whereby he demolishes the evil empire of Lord Ravan, rescues his wife, Sita, and returns triumphantly home to Ayodhya to be crowned the King. Bhagwan Ram arranges for Sita to be placed on top a funeral pyre, and when she comes out unscathed with the Lord of Fire himself appearing and asking Bhagwan Ram to take Sita back as she is pure, and her presence has not only purified Ayodhya, but also Sri Lanka, as well as himself.",1943-01-08,['Vijay Bhatt'],Yes,No,No,No,No,No,Yes,No,No,No,tt0156930,"Umakant, Shobhna Samarth, Prem Adib",No,No,No
Naukar,['Drama'],"Naukar is a 1943 Indian Bollywood film directed by Shaukat Hussain Rizvi and starring Chandra Mohan, Noor Jehan and Shobhna Samarth. It was the fifth-highest-grossing Indian film of 1943.",1943-01-18,['Shaukat Hussain Rizvi'],Yes,No,No,No,No,No,Yes,No,No,No,tt0331297,"Shobhna Samarth, Chandra Mohan, Mirza Musharraf",No,No,No
Wapas,"['Drama', ' Romance']",Two young friends bond when they visit the village fair. They fall in love. What seems like a simple story soon turns into a conflict zone between families and when pride is hurt love is sure to suffer. Wapas is a tale of wronged love. Will the young lovers be able to bury their differences and find love again?,1943-01-20,['Hemchandra Chunder'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0159109,"Bharati Devi, Dhiraj Bhattacharya, Asitbaran",No,No,No
Kismet,['Drama'],A former theater owner and his crippled daughter live in poverty until a chance encounter with a young pickpocket brings romance for the petty criminal and daughter as well as a chance by the father to get back at the villainous new theater owner who ousted him from the business years before.,1943-02-01,['Gyan Mukherjee'],Yes,No,No,No,No,No,Yes,No,No,No,tt0036077,"Ashok Kumar, Shah Nawaz, Mumtaz Shanti",No,No,Yes
Kashinath,['Drama'],"Shiromoni, a village priest sends his son on an errand to the house of Mr. Mukherjee. On his return Kashinath discovers his father is no more. With no kin to support him Mr. Mukherjee suggests that Kashinath should move over to live with Mr. Pitambar Chakraborty, the zamindar [Landlord]. Kashinath however, is in no mood to leave Mr. Mukherjee's home as he has started to grow attached to Mukherjee's daughter Bindu.",1943-04-02,['Nitin Bose'],Yes,No,No,No,No,No,Yes,No,No,No,tt0156692,"Sunanda Banerjee, Dilip Bose, Asitbaran",No,No,No
Najma,['Drama'],"Najma is a 1943 Indian film directed by Mehboob Khan and starring Ashok Kumar and Veena. The film's music is by Rafiq Ghaznavi with lyrics by Anjum Pilibhiti. Najma was the first film under Mehboob Khan's Mehboob Productions banner. Due to its financial success upon release, the film became a blueprint for Muslim socials that followed.",1943-07-30,['Mehboob Khan'],Yes,No,No,No,No,No,Yes,No,No,No,tt0232155,"Ashok Kumar, Veena, Sitara",No,No,Yes
My Sister,"['Drama', ' Romance']","Set against the backdrop of WW II in Calcutta, ""Meri Bahen"" is the story of a schoolteacher and his young sister. The film followed his rise to fame as a singer and the changes in his relationships following a bomb-raid.",1944-01-01,['Hemchandra Chunder'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0158775,"K.L. Saigal, Akhtar Jehan, Sumitra Devi",No,No,No
Jwar Bhata,"['Drama', ' Romance']","Film starring Ruma Guha Thakurta, Aga Jaan and Vikram Kapoor",1944-01-02,['Amiya Chakrabarty'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0151168,"Ruma Guha Thakurta, Vikram Kapoor, Aga Jaan",No,No,No
Dost,['Drama'],"Dost (Hindi: दोस्त; English: Friend) is a 1944 Bollywood film produced under the banner Navin Pictures, directed by Shaukat Hussain Rizvi. Kanhaiyalal and Maya Banerjee play the lead with Agha, Himalaya Dasani, Husn Banu, Mirza Musharraf, Motilal, Noor Jehan, Ram Pyari, Shaukat Hussain Rizvi, Sherali and Varmala Kumthekar in the supporting cast. The film song lyrics were written by Shams Lakhnavi, with music composed by Sajjad Hussain.",1944-01-10,['Shaukat Hussain Rizvi'],Yes,No,No,No,No,No,Yes,No,No,No,tt0132925,"Kanhaiyalal Chaturvedi, Maya Banerjee, Husn Banu",No,No,No
Ratan,"['Music', ' Romance']",They are in love - have grown up together. Circumstances lead her to get married to a older man with a small child who does not accept her physically after having seen her face for the first time - he feels guilty that she has been cheated upon and her youth has been snatched away. One day she returns home to meet her childhood friend.,1944-01-24,['M. Sadiq'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0037213,"Swaran Lata, Karan Dewan, Amir Banu",No,No,No
Lal Haveli,"['Drama', ' Romance']","Mukta and Anand are childhood friends and love each other. But Mukta belongs to higher social class than Anand and her family wants to arrange her marriage with Jawahar, son of a rich man.",1944-12-16,['K.B. Lall'],Yes,Yes,No,No,No,No,Yes,No,No,No,tt0139416,"Noor Jehan, Surendra, Ulhas",No,No,No
Tadbir,"['Drama', ' Family']","Jayant Desai directs this melodrama centering on Kanhaiyalal (K. L. Saigal) who, according to a fortuneteller at his birth, will consort with a prostitute, grow skillful with a knife, and be sentenced to the gallows. As the film progresses, this unpromising prediction comes true, but in an unexpected manner. After a family tragedy, Kanhaiyalal and his mother find shelter in the home of a kindly whore named Saguna (Suraiya) who eventually sacrifices her life for that of the protagonist. Later, he becomes handy with a knife when he goes to med school and becomes a surgeon. As Kanhaiyalal matures, he and his mother battle against crime and poverty.",1945-01-01,['Jayant Desai'],Yes,No,No,Yes,No,No,Yes,No,No,No,tt0214182,"K.L. Saigal, Mubarak Mechant, Suraiya",No,No,No
Ramayani,['Fantasy'],"Ramayani is a 1945 Hindi mythological film directed by Sarvottam Badami for Purnima Productions. The music direction was by S. N. Tripathi with lyrics written by Bekal Several films were made in that era based on the Ramayana. Vijay Bhatt made his famous Ram Rajya (1943), and Purnima Productions made their version of the epic, titling it Ramayani The film starred Pahari Sanyal, Nargis, Chandra Mohan, Rose, Kanhaiyalal and Amirbai Karnataki  [Wikipedia]",1945-01-01,['Sarvottam Badami'],No,No,No,Yes,No,No,Yes,No,No,No,tt0155093,"Kanhaiyalal Chaturvedi, Rose",No,No,No
Village Girl,['Drama'],"Jani, a village boy, is sent on the warfront. He comes back victorious and becomes the Sunedar Major.",1945-01-01,['K. Amarnath'],Yes,No,No,No,No,No,Yes,No,No,No,tt0153549,"Noor Jehan, Nazir, Anant Marathe",No,No,No
Humayun,"['War', ' Romance', ' History']",Humayan (Hindi: हुमायूँ) is a 1945 Indian Bollywood historical epic film directed by Mehboob Khan. It was the seventh highest grossing Indian film of 1945.,1945-01-01,['Mehboob Khan'],No,Yes,No,No,No,No,Yes,No,No,No,tt0142385,"Ashok Kumar, Nargis, Veena",No,No,Yes
Zeenat,"['Comedy', ' Drama']",A disgraced widow is forced to work as a maid for her fatherless child.,1945-11-16,['Shaukat Hussain Rizvi'],Yes,No,No,Yes,No,No,Yes,No,No,No,tt0154026,"Noor Jehan, Lala Yaqoob, Karan Dewan",No,No,No
Lion of Baghdad,['Adventure'],"Also known as Lion of Baghdad, this film stars Fearless Nadia, John Cavas and Sayani Atish.",1946-01-01,['Homi Wadia'],Yes,No,No,No,No,No,Yes,No,No,No,tt0386028,"John Cawas, Sayani Atish, Fearless Nadia",No,No,No
Valmiki,['Drama'],"Valmiki is a movie directed by Bhalji Pendharkar featuring Shanta Apte, Prithviraj Kapoor.",1946-01-01,['Bhalji Pendharkar'],Yes,No,No,No,No,No,Yes,No,No,No,tt0039077,"Shanta Apte, Leela Chandragiri, Pratima Devi",No,No,No
Eight Days,"['Comedy', ' Drama']","Shamsher Singh (Kumar), a discharged military officer who wants to settle down as a farmer. His marriage is arranged with the educated Neela (Veera) who ditches him at the last minute and goes to the city where she learns that she stands to inherit a fortune if she gets married within 8 days. After rejecting several suitors, she finally falls in love with Shamsher Singh, whom she meets in the city unaware that he is the person to whom she was earlier betrothed. Singh treats her badly and she sues him but in the end the two realise that they love each other.",1946-01-01,"['D.N. Pai', 'Ashok Kumar']",Yes,No,No,Yes,No,No,Yes,No,No,No,tt0331237,"Ashok Kumar, Upendranath Ashk, Veera",No,No,Yes
Shahjehan,['History'],"Shahjehan (a raw Rehman in one of his first releases) is approached by a Rajput chieftain, Jwala Singh, narrating the plight of his foster daughter, Ruhi (Ragini), who is blessed with unheard of beauty. This gives rise to an army of suitors, who indulge in violence to prevent her from getting married by scaring her to-be grooms. Her beauty, confined to four walls of Jwala's haveli becomes part of folklore, and street gossip, through the poetry of Sohail (Saigal) who accidentally catches her glimpse, and falls in love with her.",1946-01-01,['Abdul Rashid Kardar'],No,Yes,No,No,No,No,Yes,No,No,No,tt0038931,"K.L. Saigal, Ragni, Rehman Khan",No,No,No
